Symbol,Name,PricetoBookValue,Gross Profit(Quart),Return on Equity (TTM),Fixed Asset Turnover(Quartl),Earning Yield(forward 1y),Free Cash Flow Yield(TTM),30 D Avg Daily Volume,Momentum Score,Market Cap,Total Returns Price,3M Price Returns (Daily)
ALGGY,Alliance Global Group,1.153,27096.0,0.0968,0.3689,8.374,-0.0563,292813.0,3.0,35100.0,17.09,0.2165
ALGN,Align Technology,13.9,27092.0,0.2376,1.463,1.561,0.0124,7944841.0,10.0,14990.0,187.04,0.2491
ALGT,Allegiant Travel,4.615,24758.0,0.387,0.3433,8.086,0.0651,1780729.0,3.0,21200.0,131.95,-0.0386
ALIOY,Actelion,18.04,57837.0,0.5087,1.86,2.437,0.0303,29352.0,9.0,29080.0,69.47,-0.0014
ALK,Alaska Air Group,3.049,13670.0,0.2602,0.3559,7.634,0.0721,1632.0,6.0,99510.0,80.56,-0.1186
ALKS,Alkermes,6.583,17907.0,-0.1609,0.8236,-2.485,-0.0071,7124111.0,5.0,79130.0,51.5,-0.134
ALL,Allstate,1.706,14890.0,0.1372,8.964,7.369,0.105,2258.0,8.0,33710.0,93.29,0.0515
ALLE,Allegion,31.22,28100.0,1.524,2.649,3.783,0.0348,5978608.0,6.0,82820.0,87.19,0.081
ALLT,Allot Communications,1.154,1284.0,-0.0746,4.004,-6.476,-0.0215,203158.0,4.0,17385.0,5.25,0.0274
ALLY,Ally Financial,0.8147,14890.0,0.0685,1.109,8.494,0.3227,3171.0,7.0,10980.0,24.4,0.1736
ALNPY,ANA Holdings,1.501,90983.0,0.2183,0.3293,21.03,-0.0071,148137.0,9.0,12790.0,7.302,0.0431
ALO.TO,Alio Gold,1.201,1373.0,0.3394,0.2306,17.66,0.0663,102985.0,3.0,23890.0,5.47,0.0519
ALOG,Analogic,2.253,3780.0,-0.1456,1.072,0.6109,0.0631,9762843.0,3.0,10380.0,83.3,0.1749
ALPMY,Astellas Pharma,2.256,20780.0,0.256,1.616,11.17,0.088,922026.0,3.0,25660.0,12.96,0.0684
ALS.TO,Altius Minerals,1.807,8548.0,-0.1977,0.1026,-12.67,0.0156,5785333.0,7.0,53552.0,12.4,0.1889
ALSN,Allison Transmission,7.864,29000.0,0.2961,1.275,4.84,0.0978,1958.0,7.0,54730.0,36.78,-0.0187
ALV,Autoliv,2.852,53550.0,0.1485,1.439,5.012,0.0303,6138665.0,5.0,11010.0,126.64,0.1216
ALX,Alexander's,6.349,14890.0,0.2411,0.0741,3.873,0.058,68952.0,5.0,21920.0,429.14,0.0371
ALXN,Alexion Pharmaceuticals,3.553,82800.0,0.0605,0.7693,2.128,0.0276,1571.0,7.0,31540.0,141.3,0.1669
AMADY,Amadeus IT Group,8.59,64124.0,0.323,2.737,3.424,0.0346,774363.0,8.0,28840.0,65.89,0.0996
AMAG,AMAG Pharmaceuticals,0.6984,12073.0,-0.0483,7.041,-6.751,0.2756,9887262.0,3.0,66166.0,18.75,-0.0106
AMAT,Applied Materials,6.412,1700.0,0.3961,3.811,5.363,0.0596,1049.0,9.0,55880.0,52.4,0.2444
AMAVF,Arcam,8.012,7362.0,0.0054,1.392,0.0703,-0.0213,33987.0,8.0,83194.0,40.1,0.003
AMBA,Ambarella,3.648,4480.0,0.1227,13.17,3.097,0.0612,1740.0,2.0,16520.0,49.73,0.0222
AMBC,Ambac Financial Group,0.4574,14890.0,-0.064,1.109,-15.1,-0.2465,2779467.0,4.0,76565.0,16.92,-0.022
AMC,AMC Entertainment Hldgs,0.8034,17140.0,-0.0533,0.3748,-0.7444,-0.1118,3325.0,2.0,19900.0,15.2,-0.2979
AMCX,AMC Networks,126.33,37570.0,7.042,4.328,9.71,0.0866,5265186.0,6.0,37490.0,58.98,0.1051
